{1000}	celluloid
{1583}	larger
{1587}	art
{1588}	medium
{1591}	accur
{1593}	prevail
{1595}	trend
{1598}	like
{1600}	percept
{1602}	get
{1603}	messag
{1604}	go
{1606}	work
{1607}	miniatur
{1608}	factori
{1610}	missouri
{1611}	rolla
{1614}	busi
{1617}	industri
{1620}	knowledg
{1621}	affect
{1622}	decis
{1623}	expand
{1624}	role
{1625}	robot
{1626}	autom
{1627}	machin
{1628}	workplac
{1630}	sema
{1631}	alptekin
{1632}	design
{1633}	futurist
{1635}	laboratori
{1636}	ms
{1638}	mechan
{1640}	engin
{1643}	comput
{1645}	manufactur
{1646}	packag
{1648}	lab
{1649}	establish
{1652}	ago
{1653}	cost
{1654}	120,000
{1656}	kind
{1659}	advanc
{1662}	tom
{1663}	aka
{1670}	creat
{1671}	model
{1672}	similar
{1678}	oper
{1682}	recogn
{1685}	outstand
{1690}	convey
{1691}	belt
{1692}	waist
{1693}	level
{1694}	carri
{1695}	part
{1696}	storag
{1697}	shelv
{1699}	domin
{1700}	room
{1702}	silent
{1704}	foot
{1706}	sentri
{1708}	v
{1710}	joint
{1711}	arm
{1715}	fit
{1717}	grasp
{1718}	lift
{1719}	turn
{1720}	object
{1721}	differ
{1722}	size
{1723}	suit
{1724}	varieti
{1725}	task
{1727}	swivel
{1730}	posit
{1732}	lath
{1733}	mill
{1735}	entir
{1737}	would
{1739}	insid
{1740}	basketbal
{1741}	half
{1742}	court
{1743}	machineri
{1744}	type
{1746}	make
{1747}	small
{1750}	cut
{1751}	shop
{1756}	learn
{1761}	link
{1762}	complet
{1766}	retriev
{1767}	raw
{1768}	materi
{1770}	shelf
{1773}	suppli
{1774}	appropri
{1776}	inventori
{1785}	finish
{1786}	product
{1793}	engrav
{1794}	key
{1795}	chain
{1796}	intric
{1797}	maze
{1798}	puzzl
{1799}	plastic
{1800}	plexiglass
{1802}	less
{1804}	process
{1808}	former
{1810}	enter
{1811}	field
{1812}	dispar
{1813}	aviat
{1814}	financi
{1815}	consult
{1818}	accord
{1821}	human
{1822}	chatter
{1823}	replac
{1824}	click
{1825}	clack
{1827}	quit
{1828}	uniqu
{1829}	total
{1837}	compon
{1843}	control
{1846}	inform
{1847}	avail
{1852}	aspect
{1855}	apart
{1861}	becom
{1862}	almost
{1863}	commonplac
{1866}	perform
{1867}	specif
{1869}	island
{1874}	respons
{1875}	keep
{1877}	coordin
{1881}	line
{1886}	widespread
{1887}	automobil
{1896}	difficult
{1897}	justifi
{1898}	econom
{1899}	qualiti
{1901}	easili
{1903}	least
{1905}	awar
{1906}	enhanc
{1907}	develop
{1908}	area
{1912}	manag
{1914}	consider
{1916}	master
{1917}	candid
{1918}	analyz
{1919}	exist
{1921}	eye
{1922}	alter
{1930}	identifi
{1934}	necessari
{1935}	determin
{1939}	doctor
{1943}	softwar
{1946}	diagnos
{1953}	decid
{1954}	switch
{1957}	involv
{1958}	disabl
{1964}	react
{1967}	bob
{1968}	borchelt
{1970}	equip
{1973}	edg
{1975}	truth
{1976}	say
{1977}	expect
{1979}	expertis
{1981}	know
{1984}	best
{1986}	educ
{1987}	institut
{1994}	call
{1997}	electr
{1998}	chemic
{1999}	skill
{2001}	teamwork
{2002}	us
{2013}	continu
{2014}	fine
{2015}	tune
{2019}	origin
{2023}	abl
{2027}	purchas
{2029}	vision
{2030}	sophist
{2031}	enough
{2032}	act
{2033}	inspector
{2035}	spent
{2036}	30,000
{2037}	upgrad
{2040}	1987
{2041}	estim
{2042}	60,000
{2043}	70,000
{2044}	earmark
{2045}	1988
{2046}	intern
{2049}	corp
{2050}	recent
{2051}	pledg
{2052}	1.2
{2053}	million
{2059}	ibm
{2061}	aid
{2062}	48
{2067}	across
{2069}	studi
{2073}	shortag
{2074}	instruct
{2076}	grow
{2077}	critic
{2080}	andi
{2081}	russel
{2082}	spokesman
{2085}	benefit
{2087}	train
{2093}	maker
{2095}	tomorrow
{2098}	hous
{2099}	fire
{2100}	kill
{2101}	woman
{2102}	firefight
{2103}	fatal
{2104}	injur
{2107}	offici
{2109}	saturday
{2110}	four
{2113}	famili
{2116}	investig
{2117}	ray
{2118}	mauck
{2121}	a.m
{2124}	front
{2127}	northwest
{2128}	wichita
{2130}	comment
{2131}	caus
{2132}	fairli
{2133}	sure
{2135}	accident
{2139}	tilda
{2140}	sue
{2141}	price
{2142}	53
{2144}	c.c
{2145}	killingsworth
{2146}	39
{2147}	17
{2152}	depart
{2153}	mr
{2155}	husband
{2156}	everett
{2158}	63
{2160}	corin
{2161}	22
{2162}	valri
{2163}	16
{2164}	escap
{2165}	seriou
{2166}	condit
{2168}	night
{2169}	st
{2170}	franci
{2171}	region
{2172}	medic
{2173}	center
{2174}	hospit
{2177}	anoth
{2179}	treat
{2180}	minor
{2181}	injuri
{2184}	colleagu
{2185}	prais
{2186}	dedic
{2188}	aggress
{2190}	love
{2195}	chief
{2196}	larri
{2197}	garcia
{2199}	couldn
{2202}	willing
{2203}	abil
{2206}	surviv
{2208}	never
{2212}	trap
{2213}	bedroom
{2217}	short
{2218}	rescu
{2219}	effort
{2220}	roof
{2221}	cave
{2225}	second
{2226}	stori
{2228}	climb
{2229}	ladder
{2230}	put
{2235}	capit
{2236}	feder
{2237}	govern
{2240}	map
{2242}	washingtonian
{2246}	rate
{2248}	day
{2250}	district
{2253}	problem
{2257}	washington
{2259}	capitol
{2260}	white
{2262}	site
{2263}	visit
{2265}	tourist
{2267}	squalid
{2269}	tuck
{2270}	away
{2271}	tradit
{2272}	seat
{2274}	viciou
{2277}	contest
{2280}	drawn
{2281}	statu
{2282}	money
{2284}	sell
{2287}	371
{2292}	dec
{2293}	30
{2294}	far
{2295}	surpass
{2296}	previou
{2297}	high
{2299}	287
{2302}	polic
{2303}	blame
{2306}	particularli
{2307}	arriv
{2308}	crack
{2309}	cocain
{2312}	percent
{2315}	1986
{2317}	relat
{2322}	citi
{2323}	homicid
{2325}	although
{2326}	final
{2327}	popul
{2329}	figur
{2331}	compar
{2333}	detroit
{2335}	highest
{2336}	per
{2337}	capita
{2338}	murder
{2342}	mean
{2346}	earn
{2347}	dubiou
{2348}	honor
{2353}	iron
{2354}	absenc
{2355}	organ
{2358}	may
{2359}	push
{2363}	higher
{2364}	law
{2365}	enforc
{2371}	faction
{2374}	market
{2375}	fewer
{2381}	entrepreneur
{2385}	turf
{2389}	mauric
{2390}	turner
{2392}	stem
{2395}	tide
{2397}	increasingli
{2398}	tough
{2401}	3,800
{2402}	offic
{2403}	earlier
{2407}	9mm
{2408}	semiautomat
{2409}	handgun
{2410}	fear
{2411}	weapon
{2412}	commonli
{2413}	found
{2414}	street
{2415}	outclass
{2416}	standard
{2417}	38
{2418}	calib
{2419}	six
{2420}	shot
{2421}	revolv
{2429}	extra
{2430}	10
{2432}	reload
{2433}	order
{2435}	raid
{2436}	frequent
{2437}	result
{2438}	seizur
{2439}	uzi
{2440}	submachin
{2441}	gun
{2443}	weaponri
{2444}	survey
{2446}	march
{2447}	news
{2448}	confer
{2454}	wild
{2456}	west
{2460}	1990
{2463}	simpli
{2464}	arrest
{2466}	suspect
{2467}	hasn
{2468}	sate
{2470}	appetit
{2471}	narcot
{2472}	highli
{2473}	tout
{2478}	clean
{2479}	sweep
{2481}	46,000
{2483}	sinc
{2484}	august
{2486}	incept
{2487}	howev
{2489}	complain
{2491}	send
{2492}	swarm
{2495}	infest
{2499}	done
{2500}	littl
{2501}	clog
{2503}	alreadi
{2504}	overcrowd
{2505}	jail
{2509}	dealer
{2512}	spring
{2513}	forward
{2517}	kid
{2520}	dropout
{2525}	1
{2531}	u.
{2532}	attorney
{2535}	jay
{2536}	b
{2537}	stephen
{2538}	prosecut
{2543}	month
{2544}	announc
{2545}	assign
{2548}	prosecutor
{2550}	sole
{2560}	spend
{2564}	prevent
{2565}	treatment
{2567}	current
{2569}	week
{2570}	wait
{2571}	common
{2574}	enrol
{2579}	hold
{2581}	hope
{2583}	firmli
{2587}	addict
{2589}	deriv
{2592}	decreas
{2594}	last
{2598}	infus
{2610}	went
{2611}	associ
{2612}	press
{2614}	erron
{2616}	29
{2617}	sen
{2619}	sasser
{2620}	d
{2621}	tenn
{2623}	letter
{2624}	chairman
{2626}	home
{2627}	loan
{2628}	bank
{2629}	board
{2630}	m
{2632}	wall
{2633}	question
{2634}	bailout
{2635}	insolv
{2636}	save
{2640}	written
{2642}	timothi
{2643}	wirth
{2645}	colo
{2646}	revel
{2647}	rang
{2648}	1989
{2649}	celebr
{2651}	neon
{2652}	lit
{2661}	hall
{2662}	indiana
{2663}	mountaintop
{2664}	colorado
{2665}	champagn
{2666}	glass
{2668}	promot
{2669}	abstin
{2671}	watch
{2675}	countdown
{2677}	600
{2678}	pound
{2679}	wrought
{2681}	ball
{2682}	descend
{2683}	pole
{2687}	600,000
{2689}	81
{2691}	old
{2694}	came
{2696}	tv
{2697}	everi
{2699}	california
{2704}	got
{2709}	claudia
{2710}	zuniga
{2711}	mora
{2712}	23
{2713}	san
{2714}	diego
{2718}	jersey
{2719}	90
{2720}	minut
{2721}	laser
{2722}	light
{2725}	largest
{2729}	festiv
{2732}	without
{2733}	glitz
{2734}	martinsvil
{2735}	ind
{2739}	club
{2740}	si
{2744}	h
{2745}	build
{2746}	morgan
{2748}	fairground
{2749}	betti
{2750}	conov
{2752}	flagtown
{2753}	stepper
{2755}	200
{2758}	alcohol
{2761}	dancer
{2762}	drink
{2765}	listen
{2766}	caller
{2771}	adaman
{2776}	chose
{2777}	solitari
{2779}	toast
{2782}	firework
{2783}	display
{2784}	top
{2785}	pike
{2787}	elev
{2788}	14,100
{2789}	feet
{2791}	66th
{2792}	annual
{2793}	trek
{2794}	culmin
{2795}	midnight
{2797}	giant
{2798}	starburst
{2799}	explod
{2800}	snowcap
{2802}	temperatur
{2803}	dip
{2804}	zero
{2805}	hiker
{2806}	encount
{2807}	50
{2808}	mph
{2809}	wind
{2812}	tree
{2814}	snow
{2815}	depth
{2817}	thigh
{2820}	jim
{2821}	bate
{2823}	34th
{2825}	music
{2830}	grand
{2831}	ballroom
{2833}	orlean
{2834}	sheraton
{2836}	guy
{2837}	lombardo
{2838}	orchestra
{2839}	swing
{2842}	still
{2849}	kenni
{2850}	leighton
{2851}	leader
{2855}	sweetest
{2858}	heaven
{2859}	isn
{2860}	corni
{2861}	true
{2864}	plan
{2869}	tie
{2870}	affair
{2871}	trump
{2872}	plaza
{2873}	hotel
{2874}	amp
{2875}	casino
{2876}	atlant
{2878}	n.j
{2879}	step
{2881}	broadway
{2883}	phantom
{2884}	opera
{2886}	mitchel
{2887}	etess
{2894}	citizen
{2896}	parti
{2897}	mind
{2898}	resid
{2899}	jewish
{2900}	geriatr
{2902}	cherri
{2908}	usual
{2909}	activ
{2913}	schedul
{2916}	8
{2917}	p.m
{2921}	bucci
{2923}	500,000
{2925}	jam
{2926}	downtown
{2927}	miami
{2928}	55th
{2931}	orang
{2932}	jambore
{2933}	parad
{2935}	flashi
{2936}	float
{2937}	band
{2939}	circu
{2940}	eleph
{2943}	georg
{2944}	wendt
{2945}	cheer
{2946}	susan
{2947}	ruttan
{2948}	raymond
{2949}	burr
{2950}	la
{2952}	boston
{2956}	wander
{2962}	13th
{2967}	inspir
{2972}	denver
{2973}	charlott
{2974}	n.c
{2981}	appreci
{2984}	polici
{2987}	misbehav
{2989}	everyon
{2990}	els
{2996}	joyc
{2997}	lavecchia
{2999}	headach
{3002}	drive
{3008}	trooper
{3012}	encourag
{3013}	motorist
{3014}	stay
{3015}	55
{3018}	limit
{3019}	reduc
{3020}	number
{3021}	traffic
{3022}	accid
{3023}	anheus
{3024}	busch
{3025}	co
{3026}	newark
{3028}	offer
{3029}	free
{3032}	eve
{3033}	taxi
{3034}	ride
{3036}	3,000
{3040}	northern
{3049}	move
{3051}	danger
{3058}	son
{3061}	rel
{3063}	slain
{3066}	ask
{3068}	end
{3073}	skyward
{3074}	shoot
{3075}	spree
{3082}	air
{3083}	insan
{3084}	practic
{3086}	more
{3087}	commun
{3088}	need
{3091}	fred
{3092}	william
{3100}	eschew
{3102}	resolut
{3105}	predict
{3109}	procastin
{3121}	somehow
{3125}	le
{3126}	waa
{3127}	ad
{3135}	bush
{3137}	elect
{3140}	quail
{3141}	christma
{3142}	holiday
{3143}	vacat
{3144}	texa
{3147}	dark
{3148}	bull
{3152}	illeg
{3155}	hundr
{3157}	ignit
{3160}	manila
{3162}	thousand
{3164}	homeless
{3170}	sunday
{3174}	seven
{3176}	die
{3177}	stray
{3178}	bullet
{3179}	stab
{3183}	brawl
{3186}	cebu
{3187}	360
{3188}	mile
{3191}	check
{3195}	privat
{3200}	1,134
{3203}	mostli
{3205}	late
{3211}	zone
{3215}	spoke
{3217}	anonym
{3218}	finger
{3219}	amput
{3221}	wound
{3226}	record
{3228}	shambl
{3232}	rage
{3234}	slum
{3240}	destroy
{3242}	makeshift
{3245}	arson
{3247}	cpl
{3248}	edmar
{3249}	espres
{3257}	casualti
{3263}	firecrack
{3264}	espress
{3271}	86
{3280}	bulacan
{3281}	provinc
{3282}	north
{3284}	33
{3287}	frenzi
{3288}	revelri
{3293}	author
{3296}	sale
{3300}	philippin
{3301}	ban
{3302}	lightli
{3309}	usher
{3314}	friday
{3316}	serviceman
{3317}	sgt
{3319}	kaleda
{3321}	florida
{3325}	filipino
{3326}	boy
{3328}	homemad
{3330}	prematur
{3335}	clark
{3341}	blast
{3342}	explos
{3343}	thursday
{3344}	clandestin
{3350}	11
{3354}	sightse
{3355}	cruis
{3356}	boat
{3357}	crowd
{3362}	capsiz
{3363}	sank
{3365}	42
{3367}	drown
{3371}	survivor
{3375}	rio
{3376}	morgu
{3381}	consul
{3387}	popular
{3390}	attract
{3392}	bateau
{3393}	mouch
{3401}	famou
{3402}	copacabana
{3405}	exact
{3407}	sink
{3409}	excess
{3410}	capac
{3412}	maj
{3413}	oldemiro
{3414}	santo
{3416}	de
{3417}	janeiro
{3421}	maritim
{3426}	confirm
{3429}	dead
{3431}	perhap
{3432}	130
{3436}	radio
{3440}	sea
{3442}	servic
{3446}	collid
{3448}	yacht
{3449}	casa
{3450}	branca
{3463}	victim
{3464}	irineu
{3465}	barroso
{3468}	10th
{3470}	precinct
{3471}	jurisdict
{3472}	bayfront
{3474}	closest
{3475}	disast
{3481}	seem
{3483}	passeng
{3484}	mayb
{3486}	150
{3489}	told
{3494}	station
{3499}	100
{3504}	back
{3505}	ignor
{3513}	occur
{3515}	45
{3521}	est
{3522}	rough
{3524}	brazilian
{3528}	hang
{3529}	onto
{3531}	tabl
{3534}	own
{3535}	globo
{3537}	network
{3539}	includ
{3540}	italian
{3542}	aboard
{3544}	whose
{3545}	name
{3546}	immedi
{3549}	verifi
{3551}	statement
{3556}	port
{3565}	count
{3569}	retrun
{3571}	moor
{3577}	15
{3579}	later
{3583}	daili
{3587}	guanabara
{3588}	bay
{3590}	admir
{3591}	mountain
{3592}	sceneri
{3593}	surround
{3599}	wide
{3601}	newspap
{3605}	sugarloaf
{3607}	anchor
{3609}	ocean
{3623}	southern
{3624}	hemispher
{3626}	routin
{3627}	draw
{3634}	craft
{3635}	shore
{3637}	travel
{3638}	agenc
{3642}	itatiaia
{3643}	tourism
{3644}	answer
{3645}	phone
{3648}	earthen
{3649}	dike
{3650}	broke
{3654}	evacu
{3656}	1,500
{3660}	closur
{3662}	interst
{3663}	highway
{3668}	2,500
{3670}	long
{3672}	section
{3674}	creek
{3675}	dam
{3676}	virgin
{3677}	river
{3678}	14
{3680}	east
{3694}	12
{3698}	mike
{3699}	brunn
{3705}	team
{3708}	gush
{3710}	channel
{3711}	surfboard
{3713}	rode
{3714}	wave
{3723}	deputi
{3726}	appar
{3728}	vehicl
{3730}	along
{3731}	floodwat
{3736}	dispatch
{3737}	melodi
{3738}	murdock
{3744}	recreat
{3746}	pickup
{3752}	gari
{3753}	esplin
{3755}	numer
{3757}	flood
{3761}	bloomington
{3773}	thad
{3774}	mattson
{3776}	daybreak
{3778}	begin
{3779}	return
{3782}	pretti
{3784}	reced
{3788}	gorg
{3789}	arizona
{3797}	bridg
{3803}	render
{3804}	useless
{3810}	pollei
{3813}	pour
{3815}	widen
{3816}	gap
{3818}	contain
{3821}	reservoir
{3828}	face
{3830}	damag
{3838}	main
{3839}	rout
{3840}	salt
{3841}	lake
{3843}	lo
{3844}	angel
{3849}	freeway
{3851}	narrow
{3856}	locat
{3857}	250
{3863}	utah
{3865}	patrol
{3867}	shirley
{3868}	iker
{3871}	road
{3876}	hazard
{3881}	close
{3887}	inspect
{3892}	precaut
{3895}	nevada
{3898}	block
{3906}	roadblock
{3909}	access
{3917}	border
{3919}	weather
{3922}	flash
{3924}	warn
{3928}	southward
{3938}	9
{3947}	hurrican
{3952}	leak
{3953}	notic
{3961}	precis
{3968}	mormon
{3969}	church
{3971}	open
{3972}	chapel
{3976}	red
{3977}	cross
{3979}	appeal
{3984}	displac
{3985}	congest
{3993}	arteri
{3998}	attempt
{4001}	livestock
{4002}	harm
{4008}	initi
{4009}	hamper
{4014}	assum
{4017}	defens
{4018}	siren
{4019}	sound
{4020}	herald
{4032}	knock
{4035}	ksgi
{4038}	transmiss
{4039}	tower
{4046}	jule
{4047}	dinoff
{4048}	prime
{4049}	minist
{4050}	margaret
{4051}	thatcher
{4053}	histori
{4054}	1979
{4055}	becam
{4056}	europ
{4063}	alon
{4064}	joke
{4065}	male
{4072}	fashion
{4075}	women
{4080}	interview
{4084}	benazir
{4085}	bhutto
{4088}	pakistan
{4089}	forget
{4091}	gandhi
{4093}	charm
{4094}	formid
{4097}	india
{4100}	longest
{4108}	sri
{4109}	lanka
{4110}	israel
{4112}	british
{4114}	tenur
{4116}	coincid
{4119}	assassin
{4120}	1984
{4132}	david
{4133}	frost
{4134}	britain
{4135}	commerci
{4139}	combin
{4140}	job
{4142}	life
{4144}	deni
{4145}	retir
{4146}	oil
{4158}	wife
{4161}	steak
{4162}	kidney
{4163}	pie
{4164}	supper
{4165}	better
{4166}	took
{4181}	acrimoni
{4182}	meet
{4185}	fellow
{4187}	european
{4191}	understood
{4196}	repli
{4199}	deepest
{4206}	certain
{4209}	tibetan
{4211}	demonstr
{4212}	lhasa
{4213}	demand
{4214}	chines
{4216}	respect
{4221}	western
{4222}	wit
{4227}	beat
{4236}	german
{4238}	photograph
{4250}	remot
{4251}	himalayan
{4255}	protest
{4256}	led
{4258}	tibet
{4260}	buddhist
{4261}	monk
{4271}	detain
{4274}	secur
{4275}	bureau
{4283}	27
{4284}	confisc
{4289}	ordin
{4290}	prohibit
{4295}	english
{4297}	contact
{4298}	telephon
{4299}	beij
{4302}	began
{4303}	potala
{4304}	templ
{4307}	buddhism
{4308}	holiest
{4309}	shrine
{4312}	banner
{4317}	restrict
{4323}	religion
{4325}	china
{4328}	leftist
{4330}	76
{4332}	revolut
{4333}	suppress
{4336}	languag
{4342}	heritag
{4345}	request
{4350}	firearm
{4353}	peac
{4356}	pro
{4357}	independ
{4366}	child
{4369}	dutch
{4372}	13
{4385}	octob
{4389}	seek
{4394}	rule
{4396}	claim
{4398}	belong
{4402}	centuri
{4404}	spiritu
{4405}	tempor
{4407}	dalai
{4408}	lama
{4409}	fled
{4411}	1959
{4412}	sought
{4413}	refug
{4415}	abort
{4418}	upris
{4421}	marcher
{4422}	walk
{4442}	pull
{4443}	peacekeep
{4444}	troop
{4451}	ranasingh
{4452}	premadasa
{4453}	indian
{4460}	monday
{4461}	promis
{4463}	campaign
{4466}	soldier
{4469}	sent
{4471}	50,000
{4476}	juli
{4480}	sign
{4482}	insurg
{4483}	tamil
{4484}	rebel
{4486}	separ
{4487}	homeland
{4492}	withdraw
{4494}	battalion
{4495}	next
{4499}	commiss
{4500}	embassi
{4501}	colombo
{4505}	cannot
{4507}	mathemat
{4512}	2,000
{4517}	brigad
{4518}	withdrawn
{4520}	h.m
{4521}	dixit
{4524}	commission
{4528}	rajiv
{4532}	outgo
{4534}	juniu
{4535}	r
{4536}	jayewarden
{4540}	summit
{4543}	asian
{4545}	islamabad
{4549}	oppon
{4557}	disarm
{4561}	ceas
{4563}	might
{4566}	indefinit
{4571}	sentiment
{4574}	sincer
{4575}	declar
{4576}	intent
{4578}	perman
{4595}	sympathet
{4598}	626
{4604}	agreement
{4609}	hindu
{4611}	18
{4619}	accus
{4620}	predominantli
{4622}	sinhales
{4630}	75
{4637}	milit
{4646}	concentr
{4647}	reject
{4651}	autonomi
{4652}	surrend
{4655}	5
{4658}	guerrilla
{4660}	left
{4661}	8,500
{4666}	enrag
{4669}	contend
{4670}	grant
{4672}	concess
{4681}	palk
{4682}	strait
{4684}	lankan
{4685}	soil
{4688}	death
{4689}	900
{4691}	support
{4698}	normal
{4699}	commenc
{4700}	matter
{4702}	reason
{4703}	amic
{4705}	situat
{4706}	improv
{4707}	devolut
{4711}	indo
{4716}	progress
{4717}	implement
{4718}	mischief
{4720}	potenti
{4721}	extremist
{4722}	element
{4723}	oppos
{4732}	isra
{4735}	binocular
{4736}	peer
{4737}	rocki
{4738}	expans
{4740}	lebanon
{4742}	palestinian
{4745}	plo
{4747}	overtur
{4750}	infiltr
{4755}	barb
{4756}	wire
{4757}	fenc
{4760}	twice
{4762}	26
{4764}	28
{4770}	rocket
{4775}	armi
{4781}	palestin
{4782}	liber
{4788}	attack
{4790}	civilian
{4791}	sabotag
{4794}	toward
{4795}	negoti
{4798}	yasser
{4799}	arafat
{4803}	gadi
{4804}	command
{4808}	villag
{4814}	treati
{4816}	beirut
{4817}	lass
{4822}	amal
{4823}	lebanes
{4824}	shiit
